PICkitminus and PK2CMD minus supported devices.
Device file based on last publicly available PICKitPlus
device file 2.63.218.15 from https://github.com/Anobium/PICKitPlus
Some devices added and fixed by jaka.
Device file and software updates available from
http://kair.us/projects/pickitminus/index.html


Device File Version:   2.64.33
Number of devices = 1588

Device Name                  Device Family               Device ID
-----------                  -------------               ---------
PIC10F200                    Baseline                    0x0000FFFF
PIC10F202                    Baseline                    0x0000FFFF
PIC10F204                    Baseline                    0x0000FFFF
PIC10F206                    Baseline                    0x0000FFFF
PIC10F220                    Baseline                    0x0000FFFF
PIC10F222                    Baseline                    0x0000FFFF
PIC12F508                    Baseline                    0x0000FFFF
PIC12F509                    Baseline                    0x0000FFFF
PIC12F510                    Baseline                    0x0000FFFF
PIC12F519                    Baseline                    0x0000FFFF
PIC16F54                     Baseline                    0x0000FFFF
PIC16F57                     Baseline                    0x0000FFFF
PIC16F59                     Baseline                    0x0000FFFF
PIC16F505                    Baseline                    0x0000FFFF
PIC16F506                    Baseline                    0x0000FFFF
PIC16F526                    Baseline                    0x0000FFFF
PIC16F527                    Baseline                    0x0000FFFF
PIC16F570                    Baseline                    0x0000FFFF
PIC12F609                    Midrange/Standard           0x00002240
PIC12F615                    Midrange/Standard           0x00002180
PIC12F617                    Midrange/Standard           0x00001360
PIC12F629                    Midrange/Standard           0x00000F80
PIC12F635                    Midrange/Standard           0x00000FA0
PIC12F675                    Midrange/Standard           0x00000FC0
PIC12F683                    Midrange/Standard           0x00000460
PIC12F752                    Midrange/Standard           0x00001500
PIC12HV609                   Midrange/Standard           0x00002280
PIC12HV615                   Midrange/Standard           0x000021A0
PIC12HV752                   Midrange/Standard           0x00001520
PIC12LF1552                  Midrange/Standard           0x00002BC0
PIC16F72                     Midrange/Standard           0x000000A0
PIC16F73                     Midrange/Standard           0x00000600
PIC16F74                     Midrange/Standard           0x00000620
PIC16F76                     Midrange/Standard           0x00000640
PIC16F77                     Midrange/Standard           0x00000660
PIC16F84A                    Midrange/Standard           0x00000560
PIC16F87                     Midrange/Standard           0x00000720
PIC16F88                     Midrange/Standard           0x00000760
PIC16F610                    Midrange/Standard           0x00002260
PIC16F616                    Midrange/Standard           0x00001240
PIC16F627                    Midrange/Standard           0x000007A0
PIC16F627A                   Midrange/Standard           0x00001040
PIC16F628                    Midrange/Standard           0x000007C0
PIC16F628A                   Midrange/Standard           0x00001060
PIC16F630                    Midrange/Standard           0x000010C0
PIC16F631                    Midrange/Standard           0x00001420
PIC16F636 (639)              Midrange/Standard           0x000010A0
PIC16F648A                   Midrange/Standard           0x00001100
PIC16F676                    Midrange/Standard           0x000010E0
PIC16F677                    Midrange/Standard           0x00001440
PIC16F684                    Midrange/Standard           0x00001080
PIC16F685                    Midrange/Standard           0x000004A0
PIC16F687                    Midrange/Standard           0x00001320
PIC16F688                    Midrange/Standard           0x00001180
PIC16F689                    Midrange/Standard           0x00001340
PIC16F690                    Midrange/Standard           0x00001400
PIC16F716                    Midrange/Standard           0x00001140
PIC16F737                    Midrange/Standard           0x00000BA0
PIC16F747                    Midrange/Standard           0x00000BE0
PIC16F767                    Midrange/Standard           0x00000EA0
PIC16F777                    Midrange/Standard           0x00000DE0
PIC16F785                    Midrange/Standard           0x00001200
PIC16F818                    Midrange/Standard           0x000004C0
PIC16F819                    Midrange/Standard           0x000004E0
PIC16F870                    Midrange/Standard           0x00000D00
PIC16F871                    Midrange/Standard           0x00000D20
PIC16F872                    Midrange/Standard           0x000008E0
PIC16F873                    Midrange/Standard           0x00000960
PIC16F873A                   Midrange/Standard           0x00000E40
PIC16F874                    Midrange/Standard           0x00000920
PIC16F874A                   Midrange/Standard           0x00000E60
PIC16F876                    Midrange/Standard           0x000009E0
PIC16F876A                   Midrange/Standard           0x00000E00
PIC16F877                    Midrange/Standard           0x000009A0
PIC16F877A                   Midrange/Standard           0x00000E20
PIC16F882                    Midrange/Standard           0x00002000
PIC16F883                    Midrange/Standard           0x00002020
PIC16F884                    Midrange/Standard           0x00002040
PIC16F886                    Midrange/Standard           0x00002060
PIC16F887                    Midrange/Standard           0x00002080
PIC16F913                    Midrange/Standard           0x000013E0
PIC16F914                    Midrange/Standard           0x000013C0
PIC16F916                    Midrange/Standard           0x000013A0
PIC16F917                    Midrange/Standard           0x00001380
PIC16F946                    Midrange/Standard           0x00001460
PIC16HV610                   Midrange/Standard           0x000022A0
PIC16HV616                   Midrange/Standard           0x00001260
PIC16HV785                   Midrange/Standard           0x00001220
PIC16C83                     Midrange/NoDeviceId         0x00003FE0
PIC16C84                     Midrange/NoDeviceId         0x00003FE0
PIC16F83                     Midrange/NoDeviceId         0x00003FE0
PIC16F84                     Midrange/NoDeviceId         0x00003FE0
PIC10F320                    Midrange/1.8V Min           0x000029A0
PIC10F322                    Midrange/1.8V Min           0x00002980
